origin,dest,count,time
1215,1322,14100,2020/1/1
1171,1322,100,2020/1/1
1100,1322,15500,2020/1/1
1322,1215,16400,2020/1/1
1322,1171,1400,2020/1/1
1322,1100,4300,2020/1/1
1010,1322,100,2020/1/1
1204,1322,100,2020/1/1
1291,1322,50,2020/1/1
1098,1322,300,2020/1/1
1168,1322,1500,2020/1/1
1297,1322,3700,2020/1/1
1322,1010,1500,2020/1/1
1322,1204,1700,2020/1/1
1322,1098,3100,2020/1/1
1322,1168,900,2020/1/1
1322,1297,2300,2020/1/1
1322,1246,4000,2020/1/1
1246,1322,900,2020/1/1
1091,1322,9000,2020/1/1
1322,1091,6100,2020/1/1
1322,1249,600,2020/1/1
1249,1322,500,2020/1/1
1061,1322,100,2020/1/1
1300,1322,300,2020/1/1
1314,1322,50,2020/1/1
1110,1322,10,2020/1/1
1322,1061,2000,2020/1/1
1322,1300,1700,2020/1/1
1322,1314,1400,2020/1/1
1322,1110,500,2020/1/1
1322,1324,50,2020/1/1
1353,1322,10,2020/1/1
1109,1322,4400,2020/1/1
1322,1353,10,2020/1/1
1322,1109,3200,2020/1/1
1322,1232,1000,2020/1/1
1322,1336,100,2020/1/1
1322,1043,1000,2020/1/1
1232,1322,10,2020/1/1
1336,1322,10,2020/1/1
1043,1322,100,2020/1/1
1313,1322,10,2020/1/1
1139,1322,200,2020/1/1
1052,1322,2300,2020/1/1
1033,1322,200,2020/1/1
1322,1313,300,2020/1/1
1322,1139,1900,2020/1/1
1322,1052,2600,2020/1/1
1322,1033,500,2020/1/1
1322,1121,1000,2020/1/1
1121,1322,50,2020/1/1
1055,1322,200,2020/1/1
1104,1322,7100,2020/1/1
1261,1322,100,2020/1/1
1129,1322,300,2020/1/1
1124,1322,38300,2020/1/1
1322,1055,2100,2020/1/1
1322,1104,10100,2020/1/1
1322,1261,2300,2020/1/1
1322,1129,400,2020/1/1
1322,1124,13800,2020/1/1
1322,1279,9000,2020/1/1
1279,1322,13200,2020/1/1
1174,1322,100,2020/1/1
1012,1322,900,2020/1/1
1073,1322,500,2020/1/1
1322,1174,10,2020/1/1
1322,1012,2500,2020/1/1
1322,1073,1700,2020/1/1
1322,1341,500,2020/1/1
1322,1344,100,2020/1/1
1322,1321,1700,2020/1/1
1341,1322,10,2020/1/1
1344,1322,10,2020/1/1
1321,1322,200,2020/1/1
1322,1240,1600,2020/1/1
1263,1322,500,2020/1/1
1240,1322,100,2020/1/1
1006,1322,39500,2020/1/1
1142,1322,21400,2020/1/1
1090,1322,800,2020/1/1
1085,1322,1900,2020/1/1
1267,1322,45700,2020/1/1
1322,1006,20500,2020/1/1
1322,1142,13900,2020/1/1
1322,1090,3700,2020/1/1
1322,1085,4500,2020/1/1
1322,1267,13200,2020/1/1
1322,1305,3400,2020/1/1
1322,1078,2400,2020/1/1
1322,1127,15800,2020/1/1
1305,1322,900,2020/1/1
1078,1322,200,2020/1/1
1127,1322,8800,2020/1/1
1044,1322,1900,2020/1/1
1024,1322,200,2020/1/1
1322,1044,3900,2020/1/1
1322,1024,1200,2020/1/1
1322,1014,2500,2020/1/1
1014,1322,300,2020/1/1
1004,1322,50,2020/1/1
1023,1322,800,2020/1/1
1162,1322,2400,2020/1/1
1144,1322,3300,2020/1/1
1322,1004,700,2020/1/1
1322,1023,2500,2020/1/1
1322,1162,4100,2020/1/1
1322,1144,8500,2020/1/1
1322,1284,1500,2020/1/1
1284,1322,100,2020/1/1
1322,1009,5300,2020/1/1
1322,1152,1100,2020/1/1
1322,1226,1700,2020/1/1
1322,1186,10,2020/1/1
1009,1322,1000,2020/1/1
1152,1322,50,2020/1/1
1226,1322,100,2020/1/1
1186,1322,700,2020/1/1
1256,1322,1300,2020/1/1
1138,1322,10,2020/1/1
1277,1322,1100,2020/1/1
1027,1322,21200,2020/1/1
1167,1322,5100,2020/1/1
1069,1322,8500,2020/1/1
1160,1322,22900,2020/1/1
1322,1256,3300,2020/1/1
1322,1138,10,2020/1/1
1322,1277,7700,2020/1/1
1322,1027,23400,2020/1/1
1322,1167,2700,2020/1/1
1322,1069,7900,2020/1/1
1322,1160,4400,2020/1/1
1322,1213,400,2020/1/1
1213,1322,200,2020/1/1
1153,1322,10,2020/1/1
1005,1322,4400,2020/1/1
1229,1322,2300,2020/1/1
1303,1322,100,2020/1/1
1077,1322,5400,2020/1/1
1114,1322,1800,2020/1/1
1322,1153,10,2020/1/1
1322,1005,2800,2020/1/1
1322,1229,7400,2020/1/1
1322,1303,2600,2020/1/1
1322,1077,5000,2020/1/1
1322,1114,6900,2020/1/1
1133,1322,11000,2020/1/1
1118,1322,1400,2020/1/1
1322,1133,10000,2020/1/1
1322,1118,3400,2020/1/1
1348,1322,50,2020/1/1
1020,1322,50,2020/1/1
1143,1322,16900,2020/1/1
1322,1020,2500,2020/1/1
1322,1143,7900,2020/1/1
1097,1322,99400,2020/1/1
1155,1322,100,2020/1/1
1346,1322,10,2020/1/1
1205,1322,200,2020/1/1
1331,1322,10,2020/1/1
1259,1322,10,2020/1/1
1315,1322,2100,2020/1/1
1322,1097,40300,2020/1/1
1322,1155,1000,2020/1/1
1322,1205,800,2020/1/1
1322,1331,600,2020/1/1
1322,1259,100,2020/1/1
1322,1315,4000,2020/1/1
1322,1046,4400,2020/1/1
1046,1322,400,2020/1/1
1156,1322,200,2020/1/1
