id,name,lat,lon
1001,1001,24.805226,120.973544
1002,1002,43.850833,126.560278
1003,1003,30.048318,103.831788
1004,1004,37.986165,106.199409
1005,1005,32.939667,117.363228
1006,1006,23.020724,113.75124
1007,1007,28.311994,109.738783
1008,1008,42.904823,129.513228
1009,1009,29.030544,111.699758
1010,1010,49.215333,119.758168
1011,1011,39.929986,116.395645
1012,1012,31.669611,118.506502
1013,1013,25.83019,114.933412
1014,1014,26.582815,107.983668
1015,1015,47.354584,123.918781
1016,1016,36.064648,120.312284
1017,1017,22.590431,113.094942
1018,1018,37.453968,116.307428
1019,1019,36.70925,119.107078
1020,1020,23.897742,106.616285
1021,1021,27.827988,113.132854
1022,1022,32.905943,101.706251
1023,1023,37.433405,118.674495
1024,1024,21.614631,108.345478
1025,1025,41.88011,123.916302
1026,1026,42.257817,118.886856
1027,1027,30.646005,104.065285
1028,1028,21.663181,110.925924
1029,1029,30.939704,118.760055
1030,1030,27.818047,114.916415
1031,1031,27.731186,109.189838
1032,1032,36.187302,113.119049
1033,1033,44.012233,87.303929
1034,1034,25.45465,119.008073
1035,1035,45.770248,131.003911
1036,1036,22.274391,113.576645
1037,1037,32.197502,119.445372
1038,1038,29.712034,115.992811
1039,1039,29.592996,103.732252
1040,1040,37.524843,111.146523
1041,1041,28.437552,117.978051
1042,1042,26.434516,111.608019
1043,1043,45.304574,130.959143
1044,1044,24.325958,109.428526
1045,1045,42.951227,89.189537
1046,1046,36.064226,103.823305
1047,1047,39.773139,98.287947
1048,1048,16.831004,112.338651
1049,1049,38.924284,100.45015
1050,1050,45.773225,126.657717
1051,1051,30.122211,104.641917
1052,1052,37.382928,117.97114
1053,1053,41.297909,123.770519
1054,1054,42.290585,123.844279
1055,1055,25.589449,100.225668
1056,1056,31.459339,104.754235
1057,1057,23.746266,114.697802
1058,1058,34.261792,117.184811
1059,1059,18.247872,109.508268
1060,1060,26.262288,117.638949
1061,1061,27.336999,103.717216
1062,1062,30.795075,106.084735
1063,1063,30.259244,120.219375
1064,1064,26.197364,119.539704
1065,1065,37.509691,122.116394
1066,1066,23.552512,116.373929
1067,1067,45.578527,84.888881
1068,1068,33.647682,116.964343
1069,1069,37.547395,121.382627
1070,1070,34.663041,112.434468
1071,1071,45.619026,122.841114
1072,1072,21.268419,110.358111
1073,1073,28.234025,117.026972
1074,1074,35.748166,114.299049
1075,1075,41.110626,122.995632
1076,1076,32.89214,115.813034
1077,1077,32.456606,119.922905
1078,1078,26.258296,107.519559
1079,1079,42.898857,125.146551
1080,1080,30.931923,117.810911
1081,1081,26.047125,119.330221
1082,1082,41.034126,113.114543
1083,1083,41.764135,86.145647
1084,1084,31.574729,120.301663
1085,1085,27.98385,116.358351
1086,1086,34.436842,115.647579
1087,1087,36.098241,114.393509
1088,1088,29.548605,106.546859
1089,1089,35.026784,111.006532
1090,1090,24.287925,116.122217
1091,1091,33.347164,120.164031
1092,1092,26.667448,119.547338
1093,1093,40.658168,109.840405
1094,1094,27.091604,114.966804
1095,1095,28.213478,112.979353
1096,1096,24.510897,117.661801
1097,1097,31.239992,121.499407
1098,1098,28.766667,104.623832
1099,1099,22.929801,112.044439
1100,1100,37.0682,114.508851
1101,1101,26.629907,106.709177
1102,1102,31.215921,107.500922
1103,1103,31.736612,116.519349
1104,1104,22.806493,108.297234
1105,1105,25.274215,110.299121
1106,1106,31.299599,120.584909
1107,1107,25.111724,99.161468
1108,1108,30.50883,117.043551
1109,1109,36.456013,115.980367
1110,1110,39.467598,75.994288
1111,1111,32.980169,114.024736
1112,1112,23.999241,120.415749
1113,1113,31.807551,119.974439
1114,1114,33.617569,114.648966
1115,1115,34.75661,113.649644
1116,1116,29.988271,120.582627
1117,1117,29.078198,119.647789
1118,1118,37.703761,112.737838
1119,1119,43.84038,87.564988
1120,1120,35.708505,107.643694
1121,1121,37.930334,102.623711
1122,1122,42.02219,121.670591
1123,1123,35.417327,119.526783
1124,1124,29.86078,121.537143
1125,1125,28.570066,112.355042
1126,1126,24.978615,121.273141
1127,1127,34.342,108.939
1128,1128,33.971707,116.794664
1129,1129,41.169226,80.270218
